provincia,partido,localidad,linkIndec,adsl,cablemodem,dialUp,fibraOptica,otros,satelital,wimax,wireless,totalGeneral
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,755,4600,0,2,0,742,0,727,6826
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,782,0,496,16,0,0,185,1479
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,6
BUENOS AIRES,25 de Mayo,Ernestina,6854030,75,0,0,0,0,0,0,0,75
BUENOS AIRES,25 de Mayo,Pedernales,6854070,154,0,0,25,21,0,0,7,207
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,0,0,0,0,0,19,19
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4241,3553,80,6238,0,0,0,831,14943
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,0,0,0,60,0,0,0,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,0,0,0,0,0,0,474,474
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,193,0,0,2,2,0,0,0,197
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,0,118,0,0,0,42,160
BUENOS AIRES,9 de Julio,Patricios,6588110,81,0,0,0,0,0,0,50,131
BUENOS AIRES,9 de Julio,Morea,6588080,0,0,0,0,0,0,0,130,130
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,766,0,1,1417,1,0,0,1066,3251
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1253,0,0,0,0,1253
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,208,0,0,0,0,208
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,60,0,0,0,0,60
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,464,0,2,943,0,0,0,690,2099
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,0,654,6,0,0,57,717
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,0,0,0,0,0,46,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,0,0,0,0,0,14,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,335,0,6,1,0,0,0,2,344
BUENOS AIRES,Alberti,Mechita,6021030,285,0,0,0,0,0,0,0,285
BUENOS AIRES,Alberti,Coronel Seguí,6021020,0,0,0,0,0,0,0,5,5
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,0,0,0,0,0,0,0,24,24
BUENOS AIRES,Almirante Brown,Adrogué,6028010,86,9355,53,12087,91,1,0,26,21699
BUENOS AIRES,Almirante Brown,Burzaco,6028010,39,16766,35,12073,14,2,0,309,29238
BUENOS AIRES,Almirante Brown,Claypole,6028010,4,7732,3,3987,15,0,0,2,11743
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0,5756,0,0,42,0,0,1,5799
BUENOS AIRES,Almirante Brown,Glew,6028010,11,9209,10,12012,12,0,0,54,21308
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,7604,1,1605,4,0,0,1,9215
BUENOS AIRES,Almirante Brown,Longchamps,6028010,16,9478,20,8223,29,0,0,1,17767
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,4921,3,787,6,0,0,1,5719
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3666,4,4309,0,0,0,1,7983
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,9,10941,14,10091,179,0,0,340,21574
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3,4418,4,4746,128,0,0,2,9301
BUENOS AIRES,Almirante Brown,San Jose,6028010,2,9013,1,1166,1,3,0,1,10187
BUENOS AIRES,Arrecifes,Arrecifes,6077010,773,1297,12,6903,0,1,0,1325,10311
BUENOS AIRES,Arrecifes,Todd,6077020,0,0,0,341,0,0,0,0,341
BUENOS AIRES,Arrecifes,Viña,6077030,50,0,0,0,0,0,0,30,80
BUENOS AIRES,Avellaneda,Avellaneda,6035010,903,8577,46,7442,168,8,0,79,17223
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4834,0,3047,7,0,0,0,7889
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,630,0,1908,13,0,0,26,2588
BUENOS AIRES,Avellaneda,Gerli,6035010,3,5769,0,4826,5,0,0,0,10603
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5704,1,2673,5,0,0,0,8392
BUENOS AIRES,Avellaneda,Sarandí,6035010,703,9510,60,13779,43,1,0,1,24097
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,15,8462,2,7525,19,0,0,600,16623
BUENOS AIRES,Avellaneda,Wilde,6035010,329,12033,62,16620,12,0,0,101,29157
BUENOS AIRES,Ayacucho,Ayacucho,6042010,1834,0,2,0,0,0,0,142,1978
BUENOS AIRES,Ayacucho,La Constancia,6042020,0,0,0,0,0,0,0,10,10
